id,호선,역번호,출발역,latitude,longitude,출근시간_혼잡도합,퇴근시간_혼잡도합
98,3호선,342,오금,37.5022335,127.128354,26.549999999999997,13.850000000000001
99,4호선,409,불암산,37.67026,127.079011,28.95,29.9
100,4호선,410,상계,37.6729909,127.0703498,48.2,43.5
101,4호선,411,노원,37.654527,127.060551,66.05,75.05
102,4호선,412,창동,37.65276,127.047945,109.65,111.7
103,4호선,413,쌍문,37.6533557,127.0271003,142.04999999999998,152.85
104,4호선,414,수유,37.6371095,127.0247325,159.1,180.39999999999998
105,4호선,415,미아,37.626453000000005,127.02611899999998,166.85,204.24999999999997
106,4호선,416,미아사거리,37.613251,127.030084,185.4,213.7
107,4호선,417,길음,37.6085948,127.0220461,197.85000000000002,233.75
108,4호선,418,성신여대입구,37.59272,127.016544,216.84999999999997,258.3
109,4호선,419,한성대입구,37.588374,127.005907,228.0,279.0
110,4호선,420,혜화,37.5870733,126.9976788,228.15,300.85
111,4호선,421,동대문,37.571731,127.011069,249.15,316.55
112,4호선,422,동대문역사문화공원,37.565682,127.008953,214.95,304.09999999999997
113,4호선,423,충무로,37.5648394,126.9927416,177.20000000000002,259.35
114,4호선,424,명동,37.5609892,126.9861868,168.84999999999997,230.35
115,4호선,425,회현,37.5540455,126.97083379999998,153.45000000000002,225.70000000000002
116,4호선,426,서울역,37.555946,126.972317,142.2,190.60000000000002
117,4호선,427,숙대입구,37.545097,126.971987,117.3,160.3
118,4호선,428,삼각지,37.5350315,126.97345149999998,125.65,160.70000000000002
119,4호선,429,신용산,37.529187,126.967886,117.5,175.1
120,4호선,430,이촌,37.5174531,126.9665337,130.95,171.5
121,4호선,431,동작,37.502915,126.980341,134.95,189.6
122,4호선,432,총신대입구,37.486491,126.981876,138.45,189.64999999999998
123,4호선,433,사당,37.476559,126.981633,137.35000000000002,183.20000000000002
124,4호선,434,남태령,37.464237,126.989097,236.85000000000002,333.45
125,5호선,2511,방화,37.5759058,126.81359309999998,8.3,4.5
126,5호선,2512,개화산,37.572455,126.806839,18.25,21.25
127,5호선,2513,김포공항,37.56224,126.801396,46.400000000000006,55.1
128,5호선,2514,송정,37.561385,126.81205,61.8,87.5
129,5호선,2515,마곡,37.5619185,126.826919,61.849999999999994,110.89999999999999
130,5호선,2516,발산,37.558683,126.837595,70.75,139.6
131,5호선,2517,우장산,37.548783,126.836334,101.05000000000001,148.35
132,5호선,2518,화곡,37.5406979,126.8472722,125.8,167.20000000000002
133,5호선,2519,까치산,37.5317675,126.8467055,138.9,186.55
134,5호선,2520,신정,37.524987,126.85618099999998,140.55,198.1
135,5호선,2521,목동,37.526072,126.864301,151.5,214.1
136,5호선,2522,오목교,37.524553,126.87505,162.6,248.90000000000003
137,5호선,2523,양평,37.525606,126.886191,172.4,271.85
138,5호선,2524,영등포구청,37.5248203,126.8959946,145.45,252.24999999999997
139,5호선,2525,영등포시장,37.5236512,126.90546569999998,133.4,215.05
140,5호선,2526,신길,37.517346,126.9164095,155.5,218.7
141,5호선,2527,여의도,37.5292257,126.9293831,133.8,280.29999999999995
142,5호선,2528,여의나루,37.527141,126.93281,155.4,265.34999999999997
143,5호선,2529,마포,37.539705,126.94604,159.20000000000002,261.90000000000003
144,5호선,2530,공덕,37.54322,126.951576,164.4,239.64999999999998
145,5호선,2531,애오개,37.55359,126.956739,159.5,239.95
146,5호선,2532,충정로,37.562683,126.9645745,153.35,239.6
147,5호선,2533,서대문,37.56577,126.96665,139.85,241.54999999999998
148,5호선,2534,광화문,37.5696765,126.976177,117.15,251.35
149,5호선,2535,종로3가,37.570436,126.992148,133.25,213.59999999999997
150,5호선,2536,을지로4가,37.566621,126.997733,126.94999999999999,201.45
151,5호선,2537,동대문역사문화공원,37.565682,127.008953,124.5,196.1
152,5호선,2538,청구,37.5591145,127.0131005,137.24999999999997,204.55
153,5호선,2539,신금호,37.554468,127.020794,147.20000000000002,208.2
154,5호선,2540,행당,37.557402,127.029637,146.1,205.65000000000003
155,5호선,2541,왕십리,37.568832,127.0252724,143.8,247.95000000000002
156,5호선,2542,마장,37.566127,127.042965,181.95000000000002,252.45
157,5호선,2543,답십리,37.567072,127.052382,178.89999999999998,242.75
158,5호선,2544,장한평,37.561472,127.064657,171.40000000000003,242.35000000000002
159,5호선,2545,군자,37.5530337,127.073673,182.75,265.7
160,5호선,2546,아차산,37.552649,127.08923999999998,204.20000000000002,282.35
161,5호선,2547,광나루,37.545339,127.103623,192.8,278.15
162,5호선,2548,천호,37.5443765,127.1276202,176.55,262.65
163,5호선,2549,강동,37.53594,127.132187,265.6,169.9
164,5호선,2549,강동(하남검단산),37.539827,127.2231,47.0,211.5
165,5호선,2550,길동,37.537776,127.140009,228.5,310.70000000000005
166,5호선,2551,굽은다리,37.545539,127.142906,212.70000000000002,282.7
167,5호선,2552,명일,37.5490445,127.1508229,189.8,257.3
168,5호선,2553,고덕,37.555051,127.15411,169.35000000000002,237.6
169,5호선,2554,상일동,37.5570545,127.169184,151.1,180.89999999999998
170,5호선,2555,둔촌동,37.527657,127.13623099999998,143.15,159.25
171,5호선,2556,올림픽공원(한국체대),37.516628,127.13109,115.0,162.35
172,5호선,2557,방이,37.5156746,127.1253915,112.75,139.9
173,5호선,2558,오금,37.5022335,127.128354,83.0,132.95
174,5호선,2559,개롱,37.49797,127.135085,77.2,78.05
175,5호선,2560,거여,37.493422,127.143597,53.55,39.05
176,5호선,2561,마천,37.495027,127.152806,19.9,8.0
177,5호선,2562,강일,37.557471,127.17570999999998,127.75,166.4
178,5호선,2563,미사,37.563118,127.192932,99.1,104.69999999999999
179,5호선,2564,하남풍산,37.552059,127.20388,57.15,81.39999999999999
180,5호선,2565,하남시청,37.5419669,127.2062976,43.75,41.89999999999999
181,5호선,2566,하남검단산,37.539827,127.2231,15.7,11.2
